millis,pin_value
7607,0
10837,1
10915,0
10929,1
10977,0
10988,1
11029,0
11042,1
11088,0
11099,1
11138,0
11153,1
11192,0
11205,1
11250,0
11264,1
11310,0
11324,1
11369,0
11381,1
11428,0
11441,1
11493,0
11508,1
11556,0
11569,1
11615,0
11631,1
11678,0
11695,1
11748,0
11764,1
11820,0
11835,1
11887,0
11903,1
11965,0
11980,1
12036,0
12055,1
12118,0
12134,1
12188,0
12208,1
12264,0
12282,1
12346,0
12365,1
12431,0
12451,1
12518,0
12536,1
12605,0
12624,1
12702,0
12725,1
12799,0
12820,1
12892,0
12917,1
12992,0
13018,1
13106,0
13132,1
13225,0
13251,1
13342,0
13371,1
13482,0
13509,1
13615,0
13651,1
13779,0
13812,1
13928,0
13974,1
14100,0
14144,1
14307,0
14358,1
14553,0
14618,1
14872,0
14952,1
15334,0
15463,1
20035,0
20184,1
20640,0
20916,1
21236,0
21734,1
26996,0
27065,1
27855,0
27872,1
27919,0
27933,1
27973,0
27985,1
28028,0
28041,1
28084,0
28096,1
28136,0
28148,1
28194,0
28204,1
28245,0
28259,1
28304,0
28315,1
28353,0
28367,1
28405,0
28417,1
28460,0
28472,1
28516,0
28528,1
28570,0
28581,1
28624,0
28635,1
28682,0
28695,1
28737,0
28748,1
28788,0
28801,1
28842,0
28855,1
28899,0
28912,1
28958,0
28970,1
29011,0
29024,1
29072,0
29083,1
29126,0
29139,1
29187,0
29198,1
29237,0
29252,1
29291,0
29304,1
29349,0
29362,1
29406,0
29419,1
29463,0
29474,1
29519,0
29531,1
29579,0
29593,1
29636,0
29648,1
29689,0
29703,1
29745,0
29759,1
29805,0
29819,1
29865,0
29878,1
29921,0
29934,1
29984,0
29996,1
30040,0
30054,1
30103,0
30115,1
30156,0
30171,1
30212,0
30225,1
30271,0
30285,1
30331,0
30345,1
30390,0
30402,1
30448,0
30460,1
30510,0
30525,1
30570,0
30582,1
30625,0
30639,1
30683,0
30697,1
30745,0
30759,1
30808,0
30821,1
30865,0
30879,1
30930,0
30943,1
30989,0
31004,1
31054,0
31067,1
31109,0
31125,1
31167,0
31181,1
31229,0
31242,1
31291,0
31305,1
31351,0
31364,1
31411,0
31425,1
31476,0
31491,1
31538,0
31551,1
31595,0
31610,1
31655,0
31670,1
31720,0
31734,1
31785,0
31798,1
31845,0
31859,1
31912,0
31925,1
31973,0
31988,1
32041,0
32054,1
32097,0
32114,1
32158,0
32172,1
32222,0
32236,1
32286,0
32301,1
32349,0
32362,1
32411,0
32425,1
32479,0
32494,1
32543,0
32556,1
32602,0
32617,1
32664,0
32679,1
32731,0
32746,1
32798,0
32812,1
32860,0
32875,1
32930,0
32943,1
32992,0
33009,1
33063,0
33076,1
33122,0
33139,1
33184,0
33199,1
33250,0
33265,1
33317,0
33332,1
33382,0
33396,1
33447,0
33461,1
33516,0
33532,1
33583,0
33596,1
33644,0
33660,1
33708,0
33724,1
33777,0
33793,1
33847,0
33862,1
33912,0
33927,1
33984,0
33998,1
34049,0
34065,1
34122,0
34136,1
34183,0
34201,1
34247,0
34263,1
34316,0
34332,1
34385,0
34401,1
34453,0
34467,1
34520,0
34534,1
34592,0
34608,1
34661,0
34675,1
34724,0
34741,1
34791,0
34808,1
34863,0
34879,1
34935,0
34950,1
35002,0
35018,1
35077,0
35091,1
35144,0
35161,1
35220,0
35234,1
35283,0
35301,1
35350,0
35366,1
35421,0
35437,1
35493,0
35509,1
35563,0
35577,1
35632,0
35647,1
35707,0
35724,1
35779,0
35793,1
35845,0
35862,1
35914,0
35931,1
35988,0
36005,1
36063,0
36079,1
36132,0
36149,1
36210,0
36225,1
36280,0
36298,1
36359,0
36374,1
36424,0
36443,1
36494,0
36510,1
36567,0
36584,1
36642,0
36659,1
36715,0
36729,1
36786,0
36802,1
36864,0
36882,1
36938,0
36953,1
37007,0
37024,1
37078,0
37096,1
37155,0
37173,1
37233,0
37250,1
37305,0
37322,1
37386,0
37401,1
37458,0
37477,1
37540,0
37556,1
37608,0
37628,1
37680,0
37697,1
37757,0
37774,1
37834,0
37852,1
37910,0
37925,1
37985,0
38001,1
38066,0
38084,1
38143,0
38158,1
38214,0
38232,1
38288,0
38307,1
38369,0
38387,1
38450,0
38467,1
38525,0
38543,1
38609,0
38625,1
38684,0
38704,1
38770,0
38786,1
38840,0
38861,1
38915,0
38933,1
38995,0
39013,1
39076,0
39094,1
39155,0
39171,1
39232,0
39249,1
39317,0
39336,1
39397,0
39413,1
39471,0
39490,1
39549,0
39568,1
39632,0
39651,1
39717,0
39734,1
39795,0
39813,1
39882,0
39899,1
39961,0
39981,1
40049,0
40066,1
40123,0
40144,1
40201,0
40220,1
40285,0
40303,1
40368,0
40387,1
40450,0
40467,1
40531,0
40549,1
40619,0
40639,1
40703,0
40720,1
40780,0
40800,1
40861,0
40881,1
40948,0
40968,1
41036,0
41055,1
41118,0
41137,1
41209,0
41226,1
41291,0
41312,1
41383,0
41401,1
41460,0
41482,1
41542,0
41561,1
41628,0
41648,1
41716,0
41736,1
41801,0
41819,1
41886,0
41904,1
41977,0
41998,1
42064,0
42082,1
42145,0
42166,1
42229,0
42250,1
42320,0
42341,1
42412,0
42431,1
42497,0
42517,1
42592,0
42610,1
42678,0
42700,1
42774,0
42792,1
42854,0
42878,1
42939,0
42960,1
43030,0
43050,1
43121,0
43142,1
43210,0
43229,1
43298,0
43318,1
43394,0
43416,1
43485,0
43503,1
43569,0
43591,1
43657,0
43679,1
43752,0
43774,1
43848,0
43868,1
43937,0
43958,1
44036,0
44055,1
44125,0
44148,1
44226,0
44245,1
44310,0
44334,1
44398,0
44420,1
44493,0
44514,1
44588,0
44610,1
44681,0
44700,1
44773,0
44794,1
44873,0
44896,1
44968,0
44987,1
45056,0
45079,1
45148,0
45171,1
45247,0
45270,1
45347,0
45368,1
45440,0
45462,1
45544,0
45563,1
45637,0
45661,1
45742,0
45762,1
45830,0
45855,1
45923,0
45945,1
46021,0
46044,1
46121,0
46143,1
46218,0
46238,1
46314,0
46335,1
46419,0
46442,1
46518,0
46538,1
46610,0
46634,1
46706,0
46730,1
46810,0
46833,1
46914,0
46936,1
47011,0
47034,1
47120,0
47140,1
47217,0
47242,1
47327,0
47348,1
47419,0
47445,1
47516,0
47539,1
47619,0
47642,1
47723,0
47747,1
47825,0
47846,1
47925,0
47948,1
48035,0
48059,1
48138,0
48160,1
48235,0
48260,1
48335,0
48360,1
48444,0
48469,1
48554,0
48576,1
48655,0
48679,1
48769,0
48790,1
48870,0
48897,1
48985,0
49007,1
49081,0
49109,1
49183,0
49207,1
49291,0
49315,1
49400,0
49425,1
49507,0
49529,1
49613,0
49636,1
49728,0
49755,1
49838,0
49861,1
49940,0
49967,1
50047,0
50074,1
50163,0
50189,1
50280,0
50304,1
50388,0
50413,1
50509,0
50531,1
50617,0
50645,1
50740,0
50763,1
50842,0
50872,1
50950,0
50976,1
51066,0
51092,1
51182,0
51208,1
51296,0
51319,1
51408,0
51433,1
51530,0
51558,1
51646,0
51670,1
51754,0
51782,1
51867,0
51895,1
51988,0
52016,1
52111,0
52137,1
52225,0
52251,1
52352,0
52376,1
52466,0
52496,1
52596,0
52620,1
52703,0
52734,1
52817,0
52844,1
52938,0
52966,1
53060,0
53088,1
53180,0
53205,1
53298,0
53324,1
53427,0
53456,1
53549,0
53574,1
53662,0
53692,1
53781,0
53810,1
53909,0
53938,1
54038,0
54065,1
54157,0
54185,1
54291,0
54316,1
54412,0
54443,1
54548,0
54573,1
54661,0
54693,1
54781,0
54809,1
54909,0
54937,1
55037,0
55066,1
55163,0
55189,1
55288,0
55315,1
55423,0
55454,1
55552,0
55579,1
55672,0
55703,1
55797,0
55828,1
55932,0
55963,1
56069,0
56097,1
56196,0
56226,1
56341,0
56368,1
56471,0
56505,1
56621,0
56649,1
56747,0
56785,1
56885,0
56918,1
57033,0
57066,1
57183,0
57218,1
57335,0
57367,1
57491,0
57527,1
57671,0
57712,1
57850,0
57888,1
58020,0
58065,1
58234,0
58320,1
58781,0
59344,1
